,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares
50,FB,Facebook Inc,Zuckerberg Mark,COB and CEO,"Aug 25, 2021",$368.47,56000,20634074,53685
51,FB,Facebook Inc,Zuckerberg Mark,COB and CEO,"Aug 25, 2021",$368.42,6300,2321057,5920
52,KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",Lund Deanna H,EVP & CFO,"Aug 23, 2021",$22.21,11500,255470,227282
53,FB,Facebook Inc,Zuckerberg Mark,COB and CEO,"Aug 24, 2021",$365.83,56000,20486741,54649
54,FB,Facebook Inc,Zuckerberg Mark,COB and CEO,"Aug 24, 2021",$365.85,6300,2304862,5947
55,FB,Facebook Inc,Zuckerberg Mark,COB and CEO,"Aug 24, 2021",$365.85,15000,5487711,1314633
56,FB,Facebook Inc,Zuckerberg Mark,COB and CEO,"Aug 23, 2021",$363.76,15000,5456358,1330616
57,FB,Facebook Inc,Zuckerberg Mark,COB and CEO,"Aug 23, 2021",$363.72,56000,20368051,54512
58,FB,Facebook Inc,Zuckerberg Mark,COB and CEO,"Aug 23, 2021",$363.75,6300,2291642,6204
59,KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",DEMARCO ERIC M,President & CEO,"Aug 23, 2021",$22.41,10000,224104,356040
60,CVNA,CARVANA CO.,GARCIA ERNEST C. II,10% Owner,"Aug 23, 2021",$357.13,40767,14559181,0
61,DCOM,"Dime Community Bancshares, Inc. /NY/","BASSWOOD CAPITAL MANAGEMENT, L.L.C.",10% Owner,"Aug 25, 2021",$33.65,12682,426749,177858
62,DCOM,"Dime Community Bancshares, Inc. /NY/","BASSWOOD CAPITAL MANAGEMENT, L.L.C.",10% Owner,"Aug 24, 2021",$33.25,14132,469889,2796054
63,DCOM,"Dime Community Bancshares, Inc. /NY/","BASSWOOD CAPITAL MANAGEMENT, L.L.C.",10% Owner,"Aug 23, 2021",$33.10,100000,3310000,2802254
64,PINS,"PINTEREST, INC.",Yang Tseli Lily,Chief Accounting Officer,"Aug 23, 2021",$54.43,2823,153649,59258
65,BLFS,BIOLIFE SOLUTIONS INC,Mathew Aby J.,Exec VP & Chief Scientific Off,"Aug 25, 2021",$53.12,10000,531200,209589
66,BLFS,BIOLIFE SOLUTIONS INC,Mathew Aby J.,Exec VP & Chief Scientific Off,"Aug 23, 2021",$46.54,10000,465400,209589
67,ITOS,"iTeos Therapeutics, Inc.",Detheux Michel,Chief Executive Officer,"Aug 24, 2021",$28.26,225,6359,141213
68,ITOS,"iTeos Therapeutics, Inc.",Detheux Michel,Chief Executive Officer,"Aug 23, 2021",$28.06,7499,210422,141438
69,ITOS,"iTeos Therapeutics, Inc.",Detheux Michel,Chief Executive Officer,"Aug 25, 2021",$28.00,861,24109,140352
70,BLFS,BIOLIFE SOLUTIONS INC,Foster Karen A.,Chief Quality Officer,"Aug 23, 2021",$46.54,16332,760091,72777
71,NETE,"Net Element, Inc.",Wolberg Steven,Chief Legal Officer,"Aug 24, 2021",$11.20,41919,469409,105684
72,NETE,"Net Element, Inc.",Wolberg Steven,Chief Legal Officer,"Aug 25, 2021",$11.03,4000,44137,101684
73,MGM,MGM Resorts International,HERMAN ALEXIS,Director,"Aug 25, 2021",$41.94,2500,104862,14644
74,GTYH,GTY Technology Holdings Inc.,Ross Craig,CRO OF GTY AND CEO OF QUESTICA,"Aug 25, 2021",$7.30,6839,49925,282454
75,GTYH,GTY Technology Holdings Inc.,Ross Craig,CRO OF GTY AND CEO OF QUESTICA,"Aug 24, 2021",$7.30,3527,25747,289293
76,GTYH,GTY Technology Holdings Inc.,Ross Craig,CRO OF GTY AND CEO OF QUESTICA,"Aug 25, 2021",$7.26,21454,155777,261000
77,CGEM,"Cullinan Oncology, Inc.",UBS Oncology Impact Fund L.P.,10% Owner,"Aug 23, 2021",$29.11,53359,1553281,7858018
78,CGEM,"Cullinan Oncology, Inc.",UBS Oncology Impact Fund L.P.,10% Owner,"Aug 25, 2021",$29.09,1713,49831,7805483
79,CGEM,"Cullinan Oncology, Inc.",UBS Oncology Impact Fund L.P.,10% Owner,"Aug 24, 2021",$29.48,50822,1498233,7807196
80,CGEM,"Cullinan Oncology, Inc.",GADICKE ANSBERT,Director,"Aug 24, 2021",$29.48,7025,207097,266520
81,CGEM,"Cullinan Oncology, Inc.",GADICKE ANSBERT,Director,"Aug 25, 2021",$29.09,1713,49831,7805483
82,CGEM,"Cullinan Oncology, Inc.",GADICKE ANSBERT,Director,"Aug 23, 2021",$29.11,53359,1553281,7858018
