,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
6,SYNOPSYS INC,Kankanwadi Sudhindra,"Senior VP, Finance & CAO","Aug 24, 2021",$322.87,3000,968610,11165,"Aug 25, 2021, 04:46 PM",sell
7,"BJ's Wholesale Club Holdings, Inc.",Werner William C.,"EVP, Strategy & Development","Aug 23, 2021",$55.30,36132,1998131,58316,"Aug 25, 2021, 04:46 PM",sell
8,DATTO HOLDING CORP.,ABBOT JOHN,Chief Financial Officer,"Aug 23, 2021",$26.22,9000,235980,0,"Aug 25, 2021, 04:45 PM",sell
9,"J2 GLOBAL, INC.",ROSSEN JEREMY,VP/General Counsel,"Aug 24, 2021",$133.00,2717,361351,7784,"Aug 25, 2021, 04:45 PM",sell
10,"BJ's Wholesale Club Holdings, Inc.",Poulliot Brian,"EVP, Enterprise Analytics","Aug 24, 2021",$55.24,4899,270621,115977,"Aug 25, 2021, 04:45 PM",sell
11,"BJ's Wholesale Club Holdings, Inc.",Poulliot Brian,"EVP, Enterprise Analytics","Aug 23, 2021",$56.00,101,5656,115977,"Aug 25, 2021, 04:45 PM",sell
12,"Switch, Inc.",Borden Teresa A.,Chief Construction Officer,"Aug 23, 2021",$24.02,62471,1500591,525384,"Aug 25, 2021, 04:45 PM",sell
13,"Fortinet, Inc.",Jensen Keith,CFO & Chief Accounting Officer,"Aug 24, 2021",$301.31,7992,2408097,6769,"Aug 25, 2021, 04:45 PM",sell
14,AXCELIS TECHNOLOGIES INC,Bintz William J,"EVP, Product Development","Aug 25, 2021",$49.09,15061,739344,59836,"Aug 25, 2021, 04:44 PM",sell
15,"Fortinet, Inc.",Xie Michael,"VP, Engineering & CTO","Aug 24, 2021",$301.26,40000,12050535,3441469,"Aug 25, 2021, 04:43 PM",sell
16,"Fortinet, Inc.",Xie Michael,"VP, Engineering & CTO","Aug 24, 2021",$301.27,40000,12050946,5978451,"Aug 25, 2021, 04:43 PM",sell
17,BEST BUY CO INC,Bilunas Matthew M,Chief Financial Officer,"Aug 23, 2021",$113.16,819,92677,38886,"Aug 25, 2021, 04:42 PM",sell
18,BIO-TECHNE Corp,BAUMGARTNER ROBERT V,Director,"Aug 23, 2021",$485.55,4000,1942183,13313,"Aug 25, 2021, 04:42 PM",sell
19,"Certara, Inc.",Choe Jieun W.,CHIEF STRATEGY & MARKETING,"Aug 24, 2021",$30.00,7500,225000,322991,"Aug 25, 2021, 04:41 PM",sell
20,PEOPLES BANCORP OF NORTH CAROLINA INC,ABERNETHY CHRISTINE S,10% Owner,"Aug 24, 2021",$28.74,35000,1005900,573027,"Aug 25, 2021, 04:41 PM",sell
21,"ILLUMINA, INC.",Dadswell Charles,SVP & General Counsel,"Aug 23, 2021",$489.10,314,153577,5286,"Aug 25, 2021, 04:40 PM",sell
22,"OPIANT PHARMACEUTICALS, INC.",Sinclair Michael,Director,"Aug 24, 2021",$15.71,34607,543676,144070,"Aug 25, 2021, 04:38 PM",sell
23,"OPIANT PHARMACEUTICALS, INC.",Sinclair Michael,Director,"Aug 23, 2021",$16.50,65124,1074546,144070,"Aug 25, 2021, 04:38 PM",sell
24,"OPIANT PHARMACEUTICALS, INC.",Sinclair Michael,Director,"Aug 25, 2021",$14.69,50269,738452,144070,"Aug 25, 2021, 04:38 PM",sell
25,ZoomInfo Technologies Inc.,Mironov Jason,Director,"Aug 23, 2021",$62.59,523587,32771468,0,"Aug 25, 2021, 04:38 PM",sell
26,ABIOMED INC,MINOGUE MICHAEL R,"Chairman, President, CEO","Aug 23, 2021",$350.00,3492,1222200,211635,"Aug 25, 2021, 04:37 PM",sell
27,ZoomInfo Technologies Inc.,Crockett Todd,Director,"Aug 23, 2021",$62.59,523587,32771468,0,"Aug 25, 2021, 04:37 PM",sell
28,ZoomInfo Technologies Inc.,TA Atlantic & Pacific VII-B L.P.,Director,"Aug 23, 2021",$62.59,523587,32771468,0,"Aug 25, 2021, 04:36 PM",sell
29,ZoomInfo Technologies Inc.,"TA ASSOCIATES, L.P.",Director,"Aug 23, 2021",$62.59,523587,32771468,0,"Aug 25, 2021, 04:36 PM",sell
30,DIODES INC /DEL/,LU KEH SHEW,President & CEO,"Aug 23, 2021",$92.00,12000,1104000,412671,"Aug 25, 2021, 04:35 PM",sell
31,DIODES INC /DEL/,LU KEH SHEW,President & CEO,"Aug 24, 2021",$92.51,400,37006,347838,"Aug 25, 2021, 04:35 PM",sell
32,DIODES INC /DEL/,LU KEH SHEW,President & CEO,"Aug 23, 2021",$91.50,9000,823500,354038,"Aug 25, 2021, 04:35 PM",sell
33,DIODES INC /DEL/,LU KEH SHEW,President & CEO,"Aug 24, 2021",$93.25,9000,839250,400671,"Aug 25, 2021, 04:35 PM",sell
34,"TAPESTRY, INC.",Dadlani Manesh,"VP, Controller and PAO","Aug 23, 2021",$42.36,1211,51304,26049,"Aug 25, 2021, 04:34 PM",sell
35,DIODES INC /DEL/,Zhao Jin,"VP, Worldwide Analog Products","Aug 24, 2021",$92.30,1230,113529,12789,"Aug 25, 2021, 04:33 PM",sell
36,NOVANTA INC,Buckley Robert,Chief Financial Officer,"Aug 24, 2021",$146.18,8525,1246147,145592,"Aug 25, 2021, 04:32 PM",sell
37,NOVANTA INC,Buckley Robert,Chief Financial Officer,"Aug 23, 2021",$147.36,8363,1232361,153390,"Aug 25, 2021, 04:32 PM",sell
38,"NASDAQ, INC.",Ottersgard Lars,Executive Vice President,"Aug 24, 2021",$191.42,4000,765680,13783,"Aug 25, 2021, 04:31 PM",sell
39,"Childrens Place, Inc.",ELFERS JANE T,President and CEO,"Aug 24, 2021",$102.35,20912,2140343,287185,"Aug 25, 2021, 04:31 PM",sell
40,"Childrens Place, Inc.",ELFERS JANE T,President and CEO,"Aug 23, 2021",$99.46,34225,3404018,308097,"Aug 25, 2021, 04:31 PM",sell
41,DIODES INC /DEL/,Yu Evan,"SVP, WW Power Products","Aug 23, 2021",$92.50,2778,256965,27062,"Aug 25, 2021, 04:31 PM",sell
42,Twist Bioscience Corp,Banyai William,See Remarks,"Aug 23, 2021",$105.51,20054,2115982,337018,"Aug 25, 2021, 04:30 PM",sell
43,"Praxis Precision Medicines, Inc.",BSOF Parallel Master Fund L.P.,10% Owner,"Aug 23, 2021",$19.00,352396,6696326,447317,"Aug 25, 2021, 04:30 PM",sell
44,"Vertex, Inc.",Stamm John Richard,Director,"Aug 19, 2021",$19.17,8678,166392,43028,"Aug 25, 2021, 04:30 PM",sell
45,"ADVANCED DRAINAGE SYSTEMS, INC.",MAKOWSKI TIM A,See Remarks,"Aug 23, 2021",$116.24,2000,232489,7353,"Aug 25, 2021, 04:30 PM",sell
46,"ADVANCED DRAINAGE SYSTEMS, INC.",HARVEY DARIN S.,"EVP, Supply Chain & Logistics","Aug 24, 2021",$117.20,2200,257844,10859,"Aug 25, 2021, 04:30 PM",sell
47,DIODES INC /DEL/,Yang Emily,SVP Worldwide Sales/Marketing,"Aug 23, 2021",$92.30,2126,196236,38890,"Aug 25, 2021, 04:29 PM",sell
48,OLD REPUBLIC INTERNATIONAL CORP,GRAY WILLIAM T,Senior VP & Treasurer,"Aug 24, 2021",$26.42,16625,439301,22155,"Aug 25, 2021, 04:28 PM",sell
49,DIODES INC /DEL/,Tang Francis,"SVP, WW Discrete Products","Aug 23, 2021",$91.94,5146,473109,50956,"Aug 25, 2021, 04:28 PM",sell
50,DIODES INC /DEL/,Tang Francis,"SVP, WW Discrete Products","Aug 24, 2021",$93.42,6000,560550,42080,"Aug 25, 2021, 04:28 PM",sell
51,UNITEDHEALTH GROUP INC,HEMSLEY STEPHEN J,Director,"Aug 23, 2021",$426.30,70000,29841153,621560,"Aug 25, 2021, 04:28 PM",sell
52,HARVARD BIOSCIENCE INC,Green James W,Chief Executive Officer,"Aug 23, 2021",$8.02,48175,386364,2091725,"Aug 25, 2021, 04:24 PM",sell
53,Chubb Ltd,GREENBERG EVAN G,Chairman & CEO,"Aug 24, 2021",$185.91,45433,8446449,733282,"Aug 25, 2021, 04:22 PM",sell
54,Chubb Ltd,GREENBERG EVAN G,Chairman & CEO,"Aug 23, 2021",$186.22,70109,13055861,733483,"Aug 25, 2021, 04:22 PM",sell
55,"Q2 Holdings, Inc.",Offerdahl James,Director,"Aug 23, 2021",$81.95,500,40975,10053,"Aug 25, 2021, 04:20 PM",sell
56,"Moderna, Inc.",Hoge Stephen,President,"Aug 23, 2021",$398.85,15000,5982763,1624297,"Aug 25, 2021, 04:20 PM",sell
57,"Moderna, Inc.",Hoge Stephen,President,"Aug 24, 2021",$403.98,5000,2019900,1609597,"Aug 25, 2021, 04:20 PM",sell
58,AMERICAN TOWER CORP /MA/,SHARBUTT DAVID E,Director,"Aug 23, 2021",$290.00,2400,696000,1644,"Aug 25, 2021, 04:19 PM",sell
59,SPS COMMERCE INC,Nelson Kimberly K.,EVP & CFO,"Aug 23, 2021",$126.23,38416,4849364,143742,"Aug 25, 2021, 04:17 PM",sell
60,"Western New England Bancorp, Inc.",Libiszewski Darlene M,"SVP, Chief Information Officer","Aug 24, 2021",$8.75,2722,23818,9670,"Aug 25, 2021, 04:17 PM",sell
61,"Medpace Holdings, Inc.","Medpace Investors, LLC",10% Owner,"Aug 24, 2021",$180.06,1814,326629,6047183,"Aug 25, 2021, 04:16 PM",sell
62,"Medpace Holdings, Inc.","Medpace Investors, LLC",10% Owner,"Aug 23, 2021",$180.22,1482,267086,6048997,"Aug 25, 2021, 04:16 PM",sell
63,"Medpace Holdings, Inc.",Troendle August J.,CEO,"Aug 24, 2021",$180.06,1814,326629,6047183,"Aug 25, 2021, 04:16 PM",sell
64,"Medpace Holdings, Inc.",Troendle August J.,CEO,"Aug 23, 2021",$180.22,1482,267086,6048997,"Aug 25, 2021, 04:16 PM",sell
65,TE Connectivity Ltd.,MERKT STEVEN T,"President, Transportation Sol.","Aug 24, 2021",$151.09,52280,7898985,40122,"Aug 25, 2021, 04:15 PM",sell
66,HAEMONETICS CORP,Burke William P. Mr.,"EVP, Chief Financial Officer","Aug 23, 2021",$60.51,22667,1371580,30291,"Aug 25, 2021, 04:15 PM",sell
67,"Paycom Software, Inc.",Evans Jon,Chief Operating Officer,"Aug 23, 2021",$475.88,2200,1046927,16916,"Aug 25, 2021, 04:15 PM",sell
68,"Intellia Therapeutics, Inc.",LEONARD JOHN M,President and CEO,"Aug 23, 2021",$152.01,27139,4125416,727570,"Aug 25, 2021, 04:14 PM",sell
69,CASTLE BIOSCIENCES INC,MAETZOLD DEREK J,Pres. & Chief Exec. Officer,"Aug 23, 2021",$70.57,2500,176432,156699,"Aug 25, 2021, 04:13 PM",sell
70,CASTLE BIOSCIENCES INC,MAETZOLD DEREK J,Pres. & Chief Exec. Officer,"Aug 23, 2021",$70.57,2500,176432,169300,"Aug 25, 2021, 04:13 PM",sell
71,CASTLE BIOSCIENCES INC,MAETZOLD DEREK J,Pres. & Chief Exec. Officer,"Aug 23, 2021",$70.57,2500,176432,146461,"Aug 25, 2021, 04:13 PM",sell
72,"Rapid7, Inc.",Kalowski Jeffrey,Chief Financial Officer,"Aug 23, 2021",$112.69,40100,4518760,214112,"Aug 25, 2021, 04:13 PM",sell
73,"GoodRx Holdings, Inc.",Slutsky Andrew,"President, Consumer","Aug 23, 2021",$33.33,20000,666622,3093035,"Aug 25, 2021, 04:10 PM",sell
74,ESCALADE INC,Williams Edward E,Director,"Aug 24, 2021",$23.11,125000,2888800,289487,"Aug 25, 2021, 04:09 PM",sell
75,"Keysight Technologies, Inc.",Estrada Ingrid A,SVP,"Aug 23, 2021",$169.49,2000,338980,86626,"Aug 25, 2021, 04:09 PM",sell
76,ADVANCED MICRO DEVICES INC,Norrod Forrest Eugene,SVP & GM DESG,"Aug 23, 2021",$106.68,38875,4147122,341239,"Aug 25, 2021, 04:08 PM",sell
77,Paylocity Holding Corp,Sarowitz Steven I,Director,"Aug 23, 2021",$256.40,22704,5821372,12214932,"Aug 25, 2021, 04:06 PM",sell
78,Generation Bio Co.,Stanton Matthew,CHIEF SCIENTIFIC OFFICER,"Aug 23, 2021",$25.04,1500,37560,198154,"Aug 25, 2021, 04:05 PM",sell
79,"Semler Scientific, Inc.",Murphy-Chutorian Douglas,Chief Executive Officer,"Aug 23, 2021",$107.30,1250,134127,35422,"Aug 25, 2021, 04:04 PM",sell
80,"Interactive Brokers Group, Inc.",Frank Thomas AJ,Chief Information Officer,"Aug 24, 2021",$62.80,18573,1166384,2045964,"Aug 25, 2021, 04:02 PM",sell
81,"Interactive Brokers Group, Inc.",Frank Thomas AJ,Chief Information Officer,"Aug 23, 2021",$62.38,18573,1158584,2064537,"Aug 25, 2021, 04:02 PM",sell
82,CERNER Corp,Devers Daniel,EVP & Chief Legal Officer,"Aug 24, 2021",$77.45,9000,697050,2723,"Aug 25, 2021, 04:02 PM",sell
83,"Interactive Brokers Group, Inc.",Peterffy Thomas,Chairman,"Aug 24, 2021",$62.77,20000,1255400,6267511,"Aug 25, 2021, 04:02 PM",sell
84,"Interactive Brokers Group, Inc.",Peterffy Thomas,Chairman,"Aug 23, 2021",$62.39,20000,1247800,6287511,"Aug 25, 2021, 04:02 PM",sell
85,ARROW ELECTRONICS INC,Melvin Vincent P,Chief Information Officer,"Aug 24, 2021",$119.34,9672,1154295,21612,"Aug 25, 2021, 04:00 PM",sell
86,SANFILIPPO JOHN B & SON INC,Taaffe Ellen,Director,"Aug 24, 2021",$87.67,1717,150536,10078,"Aug 25, 2021, 03:41 PM",sell
87,CHOICE HOTELS INTERNATIONAL INC /DE,Dragisich Dominic,Chief Financial Officer,"Aug 24, 2021",$117.50,2926,343805,25976,"Aug 25, 2021, 03:32 PM",sell
88,SHERWIN WILLIAMS CO,GARCEAU MARY L,"SVP, Gen. Counsel & Secretary","Aug 23, 2021",$306.33,2589,793088,8670,"Aug 25, 2021, 03:29 PM",sell
89,ACNB CORP,Sites David L,Director,"Aug 23, 2021",$29.00,500,14500,33342,"Aug 25, 2021, 03:04 PM",sell
90,ACNB CORP,Newell Donna M,Director,"Aug 23, 2021",$28.31,340,9624,7663,"Aug 25, 2021, 03:00 PM",sell
91,ACNB CORP,Newell Donna M,Director,"Aug 23, 2021",$28.17,253,7128,53,"Aug 25, 2021, 03:00 PM",sell
92,BANK OF HAWAII CORP,Sellers Mary E,Vice Chair & CRO,"Aug 23, 2021",$85.44,5000,427200,95972,"Aug 25, 2021, 02:55 PM",sell
93,VICOR CORP,VINCIARELLI PATRIZIO,Chairman and CEO,"Aug 24, 2021",$123.50,20000,2470000,9716741,"Aug 25, 2021, 02:18 PM",sell
94,CACI INTERNATIONAL INC /DE/,Johnson Gregory G,Director,"Aug 23, 2021",$260.00,300,78000,5512,"Aug 25, 2021, 02:07 PM",sell
95,BOTTOMLINE TECHNOLOGIES INC,EBERLE ROBERT A,President & CEO,"Aug 25, 2021",$41.89,4000,167560,471589,"Aug 25, 2021, 01:48 PM",sell
96,BOTTOMLINE TECHNOLOGIES INC,EBERLE ROBERT A,President & CEO,"Aug 24, 2021",$41.50,4000,166000,475589,"Aug 25, 2021, 01:48 PM",sell
97,BOTTOMLINE TECHNOLOGIES INC,EBERLE ROBERT A,President & CEO,"Aug 23, 2021",$41.40,1397,57832,479589,"Aug 25, 2021, 01:48 PM",sell
98,BOTTOMLINE TECHNOLOGIES INC,Kelly John Francis,"GM, Legal Solutions","Aug 23, 2021",$41.40,959,39700,50415,"Aug 25, 2021, 01:35 PM",sell
99,BOTTOMLINE TECHNOLOGIES INC,SAVORY NIGEL K,Managing Director Europe,"Aug 23, 2021",$41.40,1479,61226,161544,"Aug 25, 2021, 01:28 PM",sell
100,RITCHIE BROS AUCTIONEERS INC,JETER JAMES J,"President, Sales U.S.","Aug 24, 2021",$62.07,3400,211038,18773,"Aug 25, 2021, 01:26 PM",sell
